"","NA1","NA2"
"8",1,0
"9",0,0
"10",0,2
"21",0,2
"22",1,4
"23",1,6
"24",0,1
"25",1,3
"26",0,6
"36",2,4
"38",0,0
"40",6,1
"41",9,14
"42",0,1
"63",9,5
"69",6,4
"70",5,3
"71",4,4
"72",0,1
"73",0,8
"88",1,7
"93",1,14
"94",3,3
"95",4,7
"96",28,30
"98",12,13
"115",3,10
"117",0,9
"118",0,0
"144",9,15
"145",1,11
"150",3,0
"151",0,0
"152",5,4
"153",3,2
"154",0,0
"155",2,3
"171",4,1
"173",0,1
"176",5,6
"177",4,6
"178",5,6
"182",1,6
"188",3,4
"189",3,3
"190",0,4
"191",2,6
"217",2,6
"218",8,10
"219",1,9
"221",5,3
"222",0,0
"230",1,2
"231",3,0
"232",7,8
"239",2,0
"240",16,18
"241",1,1
"242",5,7
"243",2,4
"244",3,4
"247",1,5
"248",3,9
"251",0,4
"252",4,2
"253",11,15
"290",6,5
"291",12,12
"295",0,2
"296",6,7
"298",2,9
"299",0,0
"300",1,5
"301",2,6
"305",10,8
"306",0,15
"307",1.4,3
"316",0,0
